Order Id;Company Id;Company Name;Date;Order Value;Converted
80EYLOKP9E762WKG;LJKS5NK6788CYMUU;Chimera-Chasing Casbah;2017-02-18;4875;1
TLEXR1HZWTUTBHPB;LJKS5NK6788CYMUU;Chimera-Chasing Casbah;2015-07-30;8425;0
839FKFW2LLX4LMBB;LJKS5NK6788CYMUU;Chimera-Chasing Casbah;2016-05-27;4837;0
97OX39BGVMHODLJM;LJKS5NK6788CYMUU;Chimera-Chasing Casbah;2018-09-27;343;0
5T4LGH4XGBWOD49Z;LJKS5NK6788CYMUU;Chimera-Chasing Casbah;2016-01-14;983;0
041ORQM5OIHTIU6L;LJKS5NK6788CYMUU;Chimera-Chasing Casbah;2014-08-24;4185;0
8QUW0UXQ3XHIL56W;LJKS5NK6788CYMUU;Chimera-Chasing Casbah;2018-06-09;3186;0
6CE8ZDK832NZWJX5;LJKS5NK6788CYMUU;Chimera-Chasing Casbah;2018-03-01;7634;0
DSG1EKQVYZD63WCS;LJKS5NK6788CYMUU;Chimera-Chasing Casbah;2015-01-04;2900;0
YT796QI18WNGZ7ZJ;LJKS5NK6788CYMUU;Chimera-Chasing Casbah;2014-04-12;5839;0
6YLROQT27B6HRF4E;LJKS5NK6788CYMUU;Chimera-Chasing Casbah;2015-07-28;8841;0
WYDFDKHADZPNGLEY;LJKS5NK6788CYMUU;Chimera-Chasing Casbah;2016-03-06;7044;0
5R53QASREK911LJV;LJKS5NK6788CYMUU;Chimera-Chasing Casbah;2018-08-26;5173;0
0X57BF04C3X3OHHB;LJKS5NK6788CYMUU;Chimera-Chasing Casbah;2015-11-21;1104;0
AT0R4DFYYAFOC88Q;LJKS5NK6788CYMUU;Chimera-Chasing Casbah;2014-07-21;1883;0
KJ5BSZH04HH05GD6;LJKS5NK6788CYMUU;Chimera-Chasing Casbah;2017-06-02;5176;1
YCC4FERSSE7IA31M;LJKS5NK6788CYMUU;Chimera-Chasing Casbah;2018-06-26;4418;0
5WS2WEUKWONW9FFS;LJKS5NK6788CYMUU;Chimera-Chasing Casbah;2018-05-07;376;0
CI0ML2FIU25S84QX;LJKS5NK6788CYMUU;Chimera-Chasing Casbah;2016-07-03;8070;0
C0E1XGLTSP9563UZ;LJKS5NK6788CYMUU;Chimera-Chasing Casbah;2014-06-25;409;0
2DDN2LHS7G85GKPQ;LJKS5NK6788CYMUU;Chimera-Chasing Casbah;2014-04-29;202;0
DP79KUFXD9OF3SMI;LJKS5NK6788CYMUU;Chimera-Chasing Casbah;2017-01-28;8457;0
FM608JK1N01BPUQN;36MFTZOYMTAJP1RK;Tangential Sheds;2014-05-08;3762;1
CK331XXNIBQT81QL;36MFTZOYMTAJP1RK;Tangential Sheds;2015-05-23;7746;0
FESGKOQN2OZZWXY3;36MFTZOYMTAJP1RK;Tangential Sheds;2016-01-10;6011;1
YITOTLOF0MWZ0VYX;36MFTZOYMTAJP1RK;Tangential Sheds;2016-10-03;3462;1
7J1KCHZUP4EVKIYH;36MFTZOYMTAJP1RK;Tangential Sheds;2018-03-09;7292;0
8RIGCF74GUEQHQEE;36MFTZOYMTAJP1RK;Tangential Sheds;2018-07-23;3438;0
TH60C9D8TPYS7DGG;36MFTZOYMTAJP1RK;Tangential Sheds;2016-12-15;8783;1
A0NDUHF4PSNWXFK7;36MFTZOYMTAJP1RK;Tangential Sheds;2014-07-19;6306;0
W1Y086SRAVUZU1AL;36MFTZOYMTAJP1RK;Tangential Sheds;2017-09-17;7683;0
WKB58Q8BHLOFQAB5;36MFTZOYMTAJP1RK;Tangential Sheds;2016-08-31;5024;0
LMYSFA4HVRRTK8G2;36MFTZOYMTAJP1RK;Tangential Sheds;2016-06-17;8154;1
N8DOG58MW238BHA9;36MFTZOYMTAJP1RK;Tangential Sheds;2018-12-25;9009;0
J2NWE7JXWK3ZXREJ;36MFTZOYMTAJP1RK;Tangential Sheds;2015-03-09;9633;0
DPDV9UGF0SUCYTGW;36MFTZOYMTAJP1RK;Tangential Sheds;2017-05-25;7779;0
KNF3E3QTOQ22J269;36MFTZOYMTAJP1RK;Tangential Sheds;2018-06-20;6013;0
LEED1HY47M8BR5VL;36MFTZOYMTAJP1RK;Tangential Sheds;2017-10-22;327;0
5WKB125WA6MI7111;36MFTZOYMTAJP1RK;Tangential Sheds;2014-11-09;8994;0
90PHMOWKMWJMLY40;36MFTZOYMTAJP1RK;Tangential Sheds;2016-08-06;6920;0
LSJPNJQLDTIRNWAL;36MFTZOYMTAJP1RK;Tangential Sheds;2017-01-27;9880;0
9HAK7VSOZCZIFBZZ;36MFTZOYMTAJP1RK;Tangential Sheds;2014-10-26;6153;0
6UX5RMHJ1GK1F9YQ;H3JRC7XX7WJAD4ZO;Two-Mile Grab;2014-08-24;6645;1
5SYB15QEFWD1E4Q4;H3JRC7XX7WJAD4ZO;Two-Mile Grab;2017-07-09;2620;0
CM1LNRTBGYPBHUGD;H3JRC7XX7WJAD4ZO;Two-Mile Grab;2018-08-04;7815;0
1TRTXRM3HQ0338H5;H3JRC7XX7WJAD4ZO;Two-Mile Grab;2014-09-06;8817;0
W5S8VZ61WJONS4EE;H3JRC7XX7WJAD4ZO;Two-Mile Grab;2017-03-25;6362;0
795SVIJKO8KS3ZEL;H3JRC7XX7WJAD4ZO;Two-Mile Grab;2015-01-05;7534;1
8070KEFYSSPWPCD0;H3JRC7XX7WJAD4ZO;Two-Mile Grab;2014-08-05;1422;0
TE8BXQIYJNTUOBZ5;H3JRC7XX7WJAD4ZO;Two-Mile Grab;2016-08-06;1597;0
RUQOHROBGBOSNUO4;H3JRC7XX7WJAD4ZO;Two-Mile Grab;2016-06-10;6367;1
BHC1Q9ALNE6NEHOZ;H3JRC7XX7WJAD4ZO;Two-Mile Grab;2018-06-25;7428;0
1L1X099HZ77FC71E;H3JRC7XX7WJAD4ZO;Two-Mile Grab;2016-09-28;7553;1
6P91QRADC2O9WOVT;H3JRC7XX7WJAD4ZO;Two-Mile Grab;2016-09-25;8004;1
DLEAUXF0Y3B9WCLP;H3JRC7XX7WJAD4ZO;Two-Mile Grab;2016-10-12;3848;0
AV70ZTPG7WYIZBHM;H3JRC7XX7WJAD4ZO;Two-Mile Grab;2014-01-30;4141;1
QDFNZBV98WY6DTES;H3JRC7XX7WJAD4ZO;Two-Mile Grab;2018-01-02;6367;0
304ABUWAKLULJZZ5;H3JRC7XX7WJAD4ZO;Two-Mile Grab;2016-09-25;2638;0
N8DEX5RIZLY2TN9S;H3JRC7XX7WJAD4ZO;Two-Mile Grab;2018-01-21;4565;0
KW1BDZL123HHU4FH;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2017-03-15;4398;0
C06H3L3ZMTPHZYE7;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2014-09-28;989;0
S35Y2T41PETM02Z8;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2015-01-25;5266;0
4P0WQVUN6E5EGYWK;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2016-06-12;7196;1
W2DPUS8PKQAVW63O;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2018-08-15;6207;0
F7RNUHMDYQS2OS3S;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2016-05-12;4581;0
E2XFDVKEKUIWPXY9;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2018-02-09;4938;0
BUP7RCDWVHJWMFQ8;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2018-10-20;7355;0
FIF56JW8NB30A7H6;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2015-08-16;6150;0
4TG5JOMX0NLJD63N;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2014-04-22;8782;0
1SLO340LG6K3VM71;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2015-01-03;8707;0
77V9JAZD90EU4YSS;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2014-04-13;3229;0
4W2R0J2IM1I7A8NN;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2015-08-20;4162;0
UPG6H94A6V1J1P4V;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2017-09-02;9051;0
FZYBTOF3HIZG29DE;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2016-07-01;5275;0
M990MB6AAZVNZ7L9;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2014-07-03;4168;0
0VQEIQ6KSX6VZD08;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2014-11-24;6634;1
EJG2RJHF1KWL9B8Q;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2015-08-23;577;1
J39WX3H2JIWZB9CG;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2018-04-26;776;0
96N69EAPPK0L5AZQ;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2017-08-24;3879;0
H944X2A26P5INPIK;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2016-12-12;5850;0
EDFLKG6HV4MA3R5V;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2016-06-17;5070;0
CPCL6LVOZUKO5THR;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2017-02-19;4645;0
9WQ7292N2B1KV69M;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2018-03-26;5334;0
H0WAISJM9ZM951EF;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2017-01-08;4543;0
BYUB69B9Y5IFJI2J;HB25MDZR0MGCQUGX;Three-Men-And-A-Helper Congo'S;2015-06-10;2317;0
1MNOUYD5H74PX8LK;7RVA8TIVBLBXMNO4;Biophysical Battleground;2015-07-26;7404;0
S1R4AUBCH6BFGM52;7RVA8TIVBLBXMNO4;Biophysical Battleground;2017-08-19;1259;0
6ODHUV6OBRPAUYTX;7RVA8TIVBLBXMNO4;Biophysical Battleground;2015-07-11;4801;0
AX56I4Q2LLODK7MW;7RVA8TIVBLBXMNO4;Biophysical Battleground;2017-09-27;2149;0
RWOML79PI4SYCW5Q;7RVA8TIVBLBXMNO4;Biophysical Battleground;2014-04-07;2767;0
31NXICAELIBWKM2F;7RVA8TIVBLBXMNO4;Biophysical Battleground;2018-09-05;6124;1
RSXZMEAFNS1PSTH8;7RVA8TIVBLBXMNO4;Biophysical Battleground;2016-07-13;8715;0
LZ3EU913X19TKE96;7RVA8TIVBLBXMNO4;Biophysical Battleground;2016-11-04;4039;0
CBF1PO08FZBGM1EI;7RVA8TIVBLBXMNO4;Biophysical Battleground;2014-06-10;7600;0
I7AGDMJYVJWSJHGC;7RVA8TIVBLBXMNO4;Biophysical Battleground;2016-11-04;1592;0
9IACXR9WYFFTJRTR;7RVA8TIVBLBXMNO4;Biophysical Battleground;2016-09-17;2766;0
6PB6DUI45YAXQW9A;7RVA8TIVBLBXMNO4;Biophysical Battleground;2018-10-11;4088;0
MLG5A3GGB5XBONG9;7RVA8TIVBLBXMNO4;Biophysical Battleground;2015-06-26;4293;0
TMF0O3LUSIFJWVN0;7RVA8TIVBLBXMNO4;Biophysical Battleground;2016-11-12;6491;0
V2XJAKMRT4YXPJR3;7RVA8TIVBLBXMNO4;Biophysical Battleground;2017-05-12;5955;0
ADQJB5JSQ1MHOS5F;7RVA8TIVBLBXMNO4;Biophysical Battleground;2015-06-26;1715;0
EAHUQC2IKV4LUXZC;7RVA8TIVBLBXMNO4;Biophysical Battleground;2017-10-12;8059;0
FPN2NJG87LBNVXOS;7RVA8TIVBLBXMNO4;Biophysical Battleground;2015-01-19;2993;1
AP7PK4WOUN7VFL0C;7RVA8TIVBLBXMNO4;Biophysical Battleground;2016-11-26;9234;0
7NK90OVCTIXFNYRG;7RVA8TIVBLBXMNO4;Biophysical Battleground;2017-06-03;2815;0
ZLBALMLWQND36W00;KKM6EZRN9W5NYXP6;Verbal Greenwich;2018-09-02;5318;0
M84KY0H9WE2TL2L0;KKM6EZRN9W5NYXP6;Verbal Greenwich;2015-10-09;2610;0
9GJJY7QEHYN0KK2T;KKM6EZRN9W5NYXP6;Verbal Greenwich;2015-03-17;5425;0
TDGETQOVDKQ7G75K;KKM6EZRN9W5NYXP6;Verbal Greenwich;2014-07-13;5465;0
O4UDE5749976MLEV;KKM6EZRN9W5NYXP6;Verbal Greenwich;2014-04-10;9004;0
WEZC6L6FUVZC3YDJ;KKM6EZRN9W5NYXP6;Verbal Greenwich;2017-06-12;4451;0
7OJ5C6JX3ECMX5TR;KKM6EZRN9W5NYXP6;Verbal Greenwich;2017-01-21;5699;0
FXNCE1CW9GERT73H;KKM6EZRN9W5NYXP6;Verbal Greenwich;2014-04-28;8361;0
NDIQL43R4XF00BP2;KKM6EZRN9W5NYXP6;Verbal Greenwich;2018-07-29;8314;0
GPNI3NBHY33SKGQ5;KKM6EZRN9W5NYXP6;Verbal Greenwich;2014-05-13;5417;1
8UO2V1M1E0NXNYNC;KKM6EZRN9W5NYXP6;Verbal Greenwich;2016-07-09;9135;0
9RJFV08PRDKI9XVT;KKM6EZRN9W5NYXP6;Verbal Greenwich;2017-08-20;3526;1
W0561AD63VBDU1P6;KKM6EZRN9W5NYXP6;Verbal Greenwich;2015-03-18;2279;0
H0G4ADIJUHT1VQ0F;KKM6EZRN9W5NYXP6;Verbal Greenwich;2018-09-21;2108;0
PU6RJ9MP60M1X9RA;KKM6EZRN9W5NYXP6;Verbal Greenwich;2015-08-23;1289;0
DUMNFB5O85U8X6BE;KKM6EZRN9W5NYXP6;Verbal Greenwich;2015-02-17;8237;0
5RABSU0AHNW2EGDW;KKM6EZRN9W5NYXP6;Verbal Greenwich;2017-05-22;5234;0
RZ8ANVAEKLILZS90;KKM6EZRN9W5NYXP6;Verbal Greenwich;2014-05-25;6793;0
AT53FXESFEOEPUYN;KKM6EZRN9W5NYXP6;Verbal Greenwich;2015-05-27;9620;1
XZRIYPEEHPW0PBUK;KKM6EZRN9W5NYXP6;Verbal Greenwich;2014-05-23;843;0
9WNXZMFWU3Z53L9K;KKM6EZRN9W5NYXP6;Verbal Greenwich;2018-03-17;5257;0
53LDBYOKQD8YKGQA;KKM6EZRN9W5NYXP6;Verbal Greenwich;2017-10-06;6231;0
79PI0RH37Z4JPHAW;KKM6EZRN9W5NYXP6;Verbal Greenwich;2015-05-18;1875;0
0BHU2OLZXRLHW7YN;KKM6EZRN9W5NYXP6;Verbal Greenwich;2016-09-19;2737;0
ZM8E082FEWVLHZ93;KKM6EZRN9W5NYXP6;Verbal Greenwich;2015-09-29;4430;1
KCC7H7KU44XQHZ71;NBJDWUB8J2DHLH29;Unpremeditated Heliopolis;2016-04-20;7363;0
MNPOI21XTC7BS56B;NBJDWUB8J2DHLH29;Unpremeditated Heliopolis;2016-04-26;444;1
AMJA3KBWZWN7S4B2;NBJDWUB8J2DHLH29;Unpremeditated Heliopolis;2016-10-08;8136;1
SUKNQOP58IOA3MPT;NBJDWUB8J2DHLH29;Unpremeditated Heliopolis;2016-08-15;7148;0
71TL6DY3X4H3P28C;NBJDWUB8J2DHLH29;Unpremeditated Heliopolis;2014-07-15;8423;1
4QZI9WC1HDBEI20L;NBJDWUB8J2DHLH29;Unpremeditated Heliopolis;2017-11-15;628;0
XL6QT6D5QQL46ATJ;NBJDWUB8J2DHLH29;Unpremeditated Heliopolis;2018-07-21;5878;1
2XP9ETFTC804KQPM;NBJDWUB8J2DHLH29;Unpremeditated Heliopolis;2018-11-16;6088;0
6Y900PSOU7ZDV34M;NBJDWUB8J2DHLH29;Unpremeditated Heliopolis;2015-09-09;5697;0
0D778LL4ID5J2W91;NBJDWUB8J2DHLH29;Unpremeditated Heliopolis;2015-05-05;1760;0
PNG87HYUMCG1HF3F;NBJDWUB8J2DHLH29;Unpremeditated Heliopolis;2016-07-10;7179;0
0JSKJA646COD0591;NBJDWUB8J2DHLH29;Unpremeditated Heliopolis;2016-06-03;9364;0
4EQSQP05EV0SQUAW;NBJDWUB8J2DHLH29;Unpremeditated Heliopolis;2018-09-09;8077;0
WR15UB6O3FH9P0L9;NBJDWUB8J2DHLH29;Unpremeditated Heliopolis;2016-09-24;886;0
